id;name;university;faculty;exam
1.2.246.562.20.00000000000000056017;Logopedia, Logopedian tutkinto-ohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Oulun yliopisto;Humanistinen tiedekunta;D
1.2.246.562.20.00000000000000056004;Psykologia, psykologian tutkinto-ohjelma, psykologian kandidaatti ja maisteri (3v + 2,5v) / psykologian kandidaatti ja filosofian maisteri (3 v + 2 v);Oulun yliopisto;Kasvatustieteiden ja psykologian tiedekunta;D
1.2.246.562.20.00000000000000064424;Maisterihaku, Hoitotiede, Hoitotieteen maisteriohjelma, terveystieteiden maisteri (2 v);Oulun yliopisto;Lääketieteellinen tiedekunta;D
1.2.246.562.20.00000000000000055991;Maisterihaku, Terveyshallintotiede,Terveyshallintotieteen maisteriohjelma, terveystieteiden maisteri (2 v);Oulun yliopisto;Lääketieteellinen tiedekunta;D
1.2.246.562.20.00000000000000055989;Terveystieteet, terveystieteiden tutkinto-ohjelma, terveystieteiden kandidaatti ja maisteri (3v + 2v);Oulun yliopisto;Lääketieteellinen tiedekunta;D
1.2.246.562.20.00000000000000063284;Kansanterveystieteen koulutus, Terveystieteiden kandidaatti ja maisteri (3 v + 2 v);Tampereen yliopisto;Yhteiskuntatieteiden tiedekunta;D
1.2.246.562.20.00000000000000063525;Logopedian koulutus, Humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Tampereen yliopisto;Yhteiskuntatieteiden tiedekunta;D
1.2.246.562.20.00000000000000063035;Maisterihaku, Kehittävä terveysjohtaminen, Hoitotieteen maisteriohjelma, Terveystieteiden maisteri (2 v);Tampereen yliopisto;Yhteiskuntatieteiden tiedekunta;D
1.2.246.562.20.00000000000000064554;Maisterihaku, Terveyspedagogiikka, Hoitotieteen maisteriohjelma, Terveystieteiden maisteri (2 v);Tampereen yliopisto;Yhteiskuntatieteiden tiedekunta;D
1.2.246.562.20.00000000000000063526;Psykologian koulutus, Psykologian kandidaatti ja maisteri (3 v + 2,5 v);Tampereen yliopisto;Yhteiskuntatieteiden tiedekunta;D
1.2.246.562.20.00000000000000057238;Maisterihaku, hoitotieteen tutkinto-ohjelma, terveystieteiden maisteri (2 v);Turun yliopisto;Lääketieteellinen tiedekunta;D
1.2.246.562.20.00000000000000056880;Logopedia, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Turun yliopisto;Yhteiskuntatieteellinen tiedekunta;D
1.2.246.562.20.00000000000000056881;Psykologia, psykologian kandidaatti ja psykologian maisteri (3 v + 2,5 v);Turun yliopisto;Yhteiskuntatieteellinen tiedekunta;D
1.2.246.562.20.00000000000000056143;Utbildningsprogrammet i logopedi, kandidat i humanistiska vetenskaper och filosofie magister (3+2 år);Åbo Akademi;Fakulteten för humaniora;D
1.2.246.562.20.00000000000000056144;Utbildningsprogrammet i psykologi, psykologie kandidat och magister (3+2,5 år);Åbo Akademi;Fakulteten för humaniora;D
1.2.246.562.20.00000000000000056196;Utbildningsprogrammet i hälsovetenskaper (Vasa), kandidat i hälsovetenskaper och magister i hälsovetenskaper (3+2 år);Åbo Akademi;Fakulteten för pedagogik och välfärdsstudier;D
1.2.246.562.20.00000000000000056403;Allmän och vuxenpedagogik (undervisning på svenska), pedagogie kandidat och magister (3 år + 2 år);Helsingin yliopisto;Kasvatustieteellinen tiedekunta;E
